seed_id,seed_source,seed_stratum,refactoring_class,transformation_id,b1_outcome,b2_outcome,b3_outcome,failure_mode_label,verifier_time_b1,verifier_time_b2,retry_count_b3,token_cost_b3,notes,b1_reason,b2_reason
summax,dafny-lang/dafny official example,benchmark_example_suite,rename,summax_rename,pass,not_run,not_run,not_applicable,1.056,,,,Local variable and method rename intended to preserve proof-relevant structure.,verified cleanly,
summax,dafny-lang/dafny official example,benchmark_example_suite,helper_extraction,summax_helper_extract,fail,pass,not_run,brittle_lemma_or_helper_application_structure,1.031,0.997,,,Critical max-update logic extracted into helper without exported guarantees; B2 adds obvious monotonicity postconditions.,this invariant could not be proved to be maintained by the loop,verified cleanly
summax,dafny-lang/dafny official example,benchmark_example_suite,statement_reordering,summax_reorder,pass,not_run,not_run,not_applicable,0.989,,,,Sum update moved before max update; semantics preserved and verification remained robust.,verified cleanly,
findzero,dafny-lang/dafny official example,benchmark_example_suite,rename,findzero_rename,pass,not_run,not_run,not_applicable,1.135,,,,Search method and loop-state variables renamed consistently.,verified cleanly,
findzero,dafny-lang/dafny official example,benchmark_example_suite,helper_extraction,findzero_helper_extract,fail,pass,not_run,ghost_code_or_proof_hint_displacement,1.187,1.035,,,Loop-step update extracted into helper without exported step relation; B2 adds explicit postconditions that mirror the moved proof-relevant facts.,decreases expression might not decrease,verified cleanly
findzero,dafny-lang/dafny official example,benchmark_example_suite,statement_reordering,findzero_reorder,pass,not_run,not_run,not_applicable,1.116,,,,Independent loop updates reordered; verification remained stable.,verified cleanly,
invert,dafny-lang/dafny official example,benchmark_example_suite,rename,invert_rename,pass,not_run,not_run,not_applicable,0.954,,,,Method and loop index renamed consistently.,verified cleanly,
invert,dafny-lang/dafny official example,benchmark_example_suite,helper_extraction,invert_helper_extract,pass,not_run,not_run,not_applicable,0.973,,,,Concrete surjectivity witness proof extracted into a lemma while preserving the exported fact; verification remained stable.,verified cleanly,
invert,dafny-lang/dafny official example,benchmark_example_suite,ghost_code_movement,invert_ghost_move,fail,fail,not_run,ghost_code_or_proof_hint_displacement,0.979,1.014,,,Key post-loop proof obligation moved into a helper lemma; B2 exports only a partial fact and does not recover the full inverse proof.,a postcondition could not be proved on this return path,a postcondition could not be proved on this return path
queens,dafny-lang/dafny official example,benchmark_example_suite,rename,queens_rename,pass,not_run,not_run,not_applicable,1.023,,,,Recursive search helper renamed while preserving the search structure and quantified invariants.,verified cleanly,
queens,dafny-lang/dafny official example,benchmark_example_suite,helper_extraction,queens_helper_extract,fail,pass,not_run,brittle_lemma_or_helper_application_structure,1.180,1.029,,,Candidate-board construction extracted into a helper without an exported equality; B2 restores the obvious postcondition.,this invariant could not be proved to be maintained by the loop,verified cleanly
queens,dafny-lang/dafny official example,benchmark_example_suite,ghost_code_movement,queens_ghost_move,fail,not_run,not_run,ghost_code_or_proof_hint_displacement,1.161,,,,The local proof that earlier queens remain consistent is moved into a ghost lemma with the same exported fact.,index out of range,
deque,dafny-lang/dafny official example,benchmark_example_suite,rename,deque_rename,pass,not_run,not_run,not_applicable,1.614,,,,Rear-list temporary renamed in enqueue and reverse-related code without changing the dynamic-frames structure.,verified cleanly,
deque,dafny-lang/dafny official example,benchmark_example_suite,helper_extraction,deque_helper_extract,fail,fail,not_run,brittle_lemma_or_helper_application_structure,1.598,1.628,,,Rear-list extension extracted into a helper that initially omits the returned list facts required by InitFromPieces; B2 restores them.,a postcondition could not be proved on this return path,a postcondition could not be proved on this return path
deque,dafny-lang/dafny official example,benchmark_example_suite,statement_reordering,deque_statement_reorder,pass,not_run,not_run,not_applicable,1.596,,,,Independent ghost and concrete updates inside reverse and clear are reordered without changing queue behavior.,verified cleanly,
twowaysort,dafny-lang/dafny official example,proof_engineering_case,rename,twowaysort_rename,pass,not_run,not_run,not_applicable,0.891,,,,The primitive swap helper is renamed consistently at its single call site.,verified cleanly,
twowaysort,dafny-lang/dafny official example,proof_engineering_case,helper_extraction,twowaysort_helper_extract,fail,pass,not_run,weakened_loop_invariants,0.953,1.061,,,Index advancement in the swap branch is extracted into a helper that initially omits the returned arithmetic facts; B2 adds the obvious index postconditions.,cannot prove termination; try supplying a decreases clause for the loop,verified cleanly
twowaysort,dafny-lang/dafny official example,proof_engineering_case,statement_reordering,twowaysort_statement_reorder,pass,not_run,not_run,not_applicable,0.912,,,,Independent initialization of the two loop pointers is reordered before the partition loop.,verified cleanly,
ringbuffer,dafny-lang/dafny official example,proof_engineering_case,rename,ringbuffer_rename,pass,not_run,not_run,not_applicable,1.180,,,,The enqueue write-position temporary is renamed consistently while preserving the sequence-view proof.,verified cleanly,
ringbuffer,dafny-lang/dafny official example,proof_engineering_case,helper_extraction,ringbuffer_helper_extract,fail,fail,not_run,broken_assertion_flow,1.247,1.281,,,Computation of the next empty slot is extracted into a helper that initially omits bounds information; B2 restores the index contract.,a postcondition could not be proved on this return path,a postcondition could not be proved on this return path
ringbuffer,dafny-lang/dafny official example,proof_engineering_case,statement_reordering,ringbuffer_statement_reorder,pass,not_run,not_run,not_applicable,1.239,,,,Independent state resets in the constructor and clear method are reordered while preserving the ring-buffer view.,verified cleanly,
bfs,dafny-lang/dafny official example,proof_engineering_case,rename,bfs_rename,pass,not_run,not_run,not_applicable,3.409,,,,The frontier-expansion temporary is renamed consistently inside the BFS loop.,verified cleanly,
bfs,dafny-lang/dafny official example,proof_engineering_case,helper_extraction,bfs_helper_extract,fail,fail,not_run,ghost_code_or_proof_hint_displacement,0.469,0.466,,,The newly encountered frontier set is extracted into a ghost helper that initially omits the defining equality; B2 restores that equality.,ghost variables such as newlyEncountered are allowed only in specification contexts. newlyEncountered was inferred to be ghost based on its declaration or initialization.,ghost variables such as newlyEncountered are allowed only in specification contexts. newlyEncountered was inferred to be ghost based on its declaration or initialization.
bfs,dafny-lang/dafny official example,proof_engineering_case,ghost_code_movement,bfs_ghost_move,pass,not_run,not_run,not_applicable,3.290,,,,The ghost snapshot of the current shortest path is moved into a dedicated ghost helper with the same exported fact.,verified cleanly,
